section,Type,Start_X,Start_Y,End_X,End_Y,Center_X,Center_Y,Radius,Start_Angle (deg),End_Angle (deg),length,Direction
1,ARC,0,105.3211487,2.078016206,108.9558512,2.322619369,106.4046393,2.562910967,205.0088218,95.47662122,4.899510584,Clockwise
2,ARC,2.078016206,108.9558512,29.12787239,123.9120065,-1.626652008,147.5955538,38.81689302,275.4766212,322.4007308,31.79026721,Counterclockwise
3,ARC,29.12787239,123.9120065,40.30608047,124.6697789,35.0519206,119.3499956,7.477050942,142.4007308,45.35558171,12.66431017,Clockwise
4,ARC,40.30608047,124.6697789,53.03627642,129.866375,45.56024033,129.9895623,7.477050942,225.3555817,359.0559875,17.44779028,Counterclockwise
5,ARC,53.03627642,129.866375,65.76647238,135.0629711,60.51231252,129.7431877,7.477050942,179.0559875,45.35558171,17.44779028,Clockwise
6,ARC,65.76647238,135.0629711,78.49666834,140.2595672,71.02063224,140.3827544,7.477050942,225.3555817,359.0559875,17.44779028,Counterclockwise
7,ARC,78.49666834,140.2595672,77.40905808,144.2678936,71.02063224,140.3827544,7.477050942,359.0559875,31.30599327,4.208598579,Counterclockwise
8,ARC,77.40905808,144.2678936,84.30066245,150.3683134,81.40418137,146.697539,4.675915645,211.3059933,51.72425039,13.02348575,Clockwise
9,ARC,84.30066245,150.3683134,104.3564051,147.5371744,96.75674992,166.1541878,20.10840489,231.7242504,292.2057846,21.22647057,Counterclockwise
10,LINE,104.3564051,147.5371744,146.7698367,164.8507706,,,,,,45.81113177,
11,ARC,146.7698367,164.8507706,159.2375718,181.0309909,139.0912289,183.6611958,20.31731063,292.2057846,352.5618221,21.40249024,Counterclockwise
12,ARC,159.2375718,181.0309909,167.3917797,183.1983076,163.7596192,180.4406152,4.560422827,172.5618221,37.20733029,10.7734587,Clockwise
13,ARC,167.3917797,183.1983076,180.9937254,182.0999133,174.6842073,188.735032,9.156135567,217.2073303,313.5591245,15.39747076,Counterclockwise
14,ARC,180.9937254,182.0999133,187.1670238,184.6199168,187.3032434,175.4647946,9.156135567,133.5591245,90.85244467,6.824728689,Clockwise
15,ARC,187.1670238,184.6199168,195.4020899,187.981555,186.9853093,196.8326809,12.21411582,270.8524447,313.5591245,9.104062087,Counterclockwise
16,ARC,195.4020899,187.981555,203.8738555,191.4398163,204.060793,178.8760223,12.56518465,133.5591245,90.85244467,9.365739024,Clockwise
17,ARC,203.8738555,191.4398163,211.7069207,194.3250087,203.6866173,204.0238199,12.58539647,270.8524447,309.5885963,8.508651596,Counterclockwise
18,ARC,211.7069207,194.3250087,221.9837615,198.832465,224.7538768,178.5475554,20.47317988,129.5885963,97.77623334,11.36733341,Clockwise
19,ARC,221.9837615,198.832465,227.9132264,200.674132,219.4330034,217.511073,18.85196972,277.7762333,296.7329185,6.237298076,Counterclockwise
20,LINE,227.9132264,200.674132,291.8543212,232.8791949,,,,,,71.59350299,
21,ARC,291.8543212,232.8791949,314.4139735,236.5634221,308.9916261,198.8541708,38.09710599,116.7329185,81.81732498,23.21607419,Clockwise
22,ARC,314.4139735,236.5634221,320.5753769,240.1925193,315.2282062,242.2259334,5.720752401,261.817325,339.1792667,7.724277727,Counterclockwise
23,ARC,320.5753769,240.1925193,329.5129868,242.7269937,325.9871248,238.1345479,5.789841198,159.1792667,52.48465594,10.78168162,Clockwise
24,ARC,329.5129868,242.7269937,338.7713111,246.5063363,333.0388488,247.3194394,5.789841198,232.4846559,351.9269132,12.06985415,Counterclockwise
25,ARC,338.7713111,246.5063363,348.0296355,250.2856789,344.5037735,245.6932331,5.789841198,171.9269132,52.48465594,12.06985415,Clockwise
26,ARC,348.0296355,250.2856789,357.2879598,254.0650215,351.5554975,254.8781247,5.789841198,232.4846559,351.9269132,12.06985415,Counterclockwise
27,ARC,357.2879598,254.0650215,365.4819415,258.4924511,363.0204221,253.2519183,5.789841198,171.9269132,64.84018778,10.82130552,Clockwise
28,ARC,365.4819415,258.4924511,386.3215946,251.7498636,402.4725734,337.244877,87.00719191,244.8401878,259.3022464,21.96153229,Counterclockwise
29,ARC,386.3215946,251.7498636,395.3056802,246.2808706,383.5512881,237.0852792,14.92396166,79.30224642,38.03646653,10.74859129,Clockwise
30,ARC,395.3056802,246.2808706,402.5989376,238.1533884,459.071846,296.1658498,80.96070071,218.0364665,225.7704441,10.92834838,Counterclockwise
31,ARC,402.5989376,238.1533884,406.4642595,230.6405446,398.1598933,231.1187549,8.318123711,57.74696436,356.7042385,8.862100306,Clockwise
32,ARC,406.4642595,230.6405446,408.526559,222.7558937,419.6621552,229.8805382,13.21976026,176.7042385,212.6114419,8.284809541,Counterclockwise
33,ARC,408.526559,222.7558937,408.9414971,217.3075673,403.6654443,219.6457132,5.770932278,32.61144195,336.0989009,5.69204311,Clockwise
34,ARC,408.9414971,217.3075673,408.3754373,210.6315916,418.3227882,213.150136,10.26123076,156.0989009,194.207999,6.825044578,Counterclockwise
35,ARC,408.3754373,210.6315916,406.1346587,202.7570244,400.4607392,208.6276893,8.164439347,14.207999,314.0236468,8.576050412,Clockwise
36,ARC,406.1346587,202.7570244,395.9358579,190.1243775,452.0276898,155.272634,66.03739571,134.0236468,148.1459241,16.27691295,Counterclockwise
37,ARC,395.9358579,190.1243775,386.6108173,182.5417611,380.2811476,199.851176,18.4304249,328.1459241,290.0863469,12.24268499,Clockwise
38,ARC,386.6108173,182.5417611,353.6089733,165.4750957,437.1026401,44.46442784,147.0196386,110.0863469,124.6044907,37.25321953,Counterclockwise
39,LINE,353.6089733,165.4750957,334.9997214,152.6352799,,,,,,22.60896117,
40,ARC,334.9997214,152.6352799,328.2122485,141.2202407,344.0381876,139.5354739,15.91536329,124.6044907,173.9234047,13.69958556,Counterclockwise
41,ARC,328.2122485,141.2202407,319.815241,136.4548524,322.3046333,141.849142,5.94099601,353.9234047,245.2273091,11.27069176,Clockwise
42,ARC,319.815241,136.4548524,311.7514895,132.9761939,317.343549,131.098918,5.898753657,65.22730913,161.4429,9.905652274,Counterclockwise
43,ARC,311.7514895,132.9761939,305.8144755,126.332453,301.0428056,136.5711402,11.29599702,341.4429,294.9875496,9.158781056,Clockwise
44,ARC,305.8144755,126.332453,276.5556401,130.5529752,294.4104005,150.802452,26.99692161,294.9875496,228.5961074,31.28266297,Clockwise
45,ARC,276.5556401,130.5529752,252.2873261,144.4765828,230.3839185,78.18860926,69.81299807,48.59610743,71.71499461,28.16959363,Counterclockwise
46,ARC,252.2873261,144.4765828,234.8975371,139.3659654,247.2879542,129.3465978,15.93455884,71.71499461,141.0396645,19.27991974,Counterclockwise
47,ARC,234.8975371,139.3659654,227.9146771,134.3969075,222.5097493,149.3832068,15.93117731,321.0396645,289.8322416,8.677270659,Clockwise
48,ARC,227.9146771,134.3969075,220.9310394,129.4272961,233.3202071,119.4089388,15.93295202,109.8322416,141.0396645,8.678237293,Counterclockwise
49,ARC,220.9310394,129.4272961,213.9447908,124.4558268,208.53724,139.4493987,15.93890846,321.0396645,289.8322416,8.681481599,Clockwise
50,ARC,213.9447908,124.4558268,206.9497152,119.4780762,219.3591739,109.4433108,15.95904703,109.8322416,141.0396645,8.692450521,Counterclockwise
51,ARC,206.9497152,119.4780762,199.9240469,114.4785555,194.4859842,129.5567281,16.02884325,321.0396645,289.8322416,8.730466589,Clockwise
52,ARC,199.9240469,114.4785555,190.6483124,105.9574544,205.451554,99.15237953,16.29248308,109.8322416,155.3116794,12.93241798,Counterclockwise
53,ARC,190.6483124,105.9574544,183.9380534,104.3614182,186.6681868,107.7871247,4.38053578,335.3116794,231.4467374,7.940970496,Clockwise
54,ARC,183.9380534,104.3614182,178.5916153,99.29822984,181.6208696,101.453871,3.717952536,51.44673737,215.435953,10.64134436,Counterclockwise
55,ARC,178.5916153,99.29822984,173.9139729,95.96958283,176.2527941,97.63390634,2.87055,35.43595305,215.435953,9.018098792,Clockwise
56,ARC,173.9139729,95.96958283,167.501857,95.35647834,170.8847185,93.81394165,3.717952536,35.43595305,155.4876891,7.790218762,Counterclockwise
57,ARC,167.501857,95.35647834,148.7214278,76.54964264,132.890547,111.1387432,38.03975117,335.4876891,294.5928159,27.15087944,Clockwise
58,ARC,148.7214278,76.54964264,117.0402879,55.49782253,199.2574917,-33.86727046,121.4322381,114.5928159,132.6145137,38.19504897,Counterclockwise
59,LINE,117.0402879,55.49782253,90.89508951,31.44385433,,,,,,35.52695857,
60,ARC,90.89508951,31.44385433,63.95754181,18.42799396,55.90536774,69.47555078,51.67872448,312.6145137,278.9639023,30.35163655,Clockwise
61,ARC,63.95754181,18.42799396,62.6154255,15.84345458,64.23944094,16.64086646,1.809224098,98.96390232,206.1516155,3.384657566,Counterclockwise
62,ARC,62.6154255,15.84345458,58.11199422,13.56398657,60.34988005,14.73104344,2.52391655,26.15161545,207.5420291,7.867869062,Clockwise
